dish_id,name_vi,name_en,region,origin,roles,serving_g,verified_by,note
FNDDS-2705529,,"Infant formula, Similac Sensitive, powder, made with baby water",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705529"
FNDDS-2705530,,"Infant formula, Similac for Spit-Up, ready-to-feed",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705530"
FNDDS-2705531,,"Infant formula, Similac for Spit-Up, powder, made with water",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705531"
FNDDS-2705532,,"Toddler formula, Similac Go and Grow",,foreign,,133.4,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705532"
FNDDS-2705534,,"Infant formula, Enfamil Infant, ready-to-feed",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705534"
FNDDS-2705535,,"Infant formula, Enfamil Infant, powder, made with tap water",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705535"
FNDDS-2705536,,"Infant formula, Enfamil Infant, powder, made with bottled water",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705536"
FNDDS-2705537,,"Infant formula, Enfamil Infant, powder, made with baby water",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705537"
FNDDS-2705538,,"Infant formula, Enfamil AR, ready-to-feed",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705538"
FNDDS-2705539,,"Infant formula, Enfamil AR, powder, made with water",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705539"
FNDDS-2705540,,"Infant formula, Enfamil Gentlease, ready-to-feed",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705540"
FNDDS-2705541,,"Infant formula, Enfamil Gentlease, powder, made with tap water",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705541"
FNDDS-2705542,,"Infant formula, Enfamil Gentlease, powder, made with bottled water",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705542"
FNDDS-2705543,,"Infant formula, Enfamil Gentlease, powder, made with baby water",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705543"
FNDDS-2705544,,"Toddler formula, Enfamil Enfagrow",,foreign,,204.4,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705544"
FNDDS-2705545,,"Toddler formula, PediaSure",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705545"
FNDDS-2705548,,"Toddler formula, store brand, pediatric shake",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705548"
FNDDS-2705550,,"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed",,foreign,,67.9,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705550"
FNDDS-2705551,,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water",,foreign,,67.9,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705551"
FNDDS-2705552,,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water",,foreign,,67.9,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705552"
FNDDS-2705553,,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water",,foreign,,67.9,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705553"
FNDDS-2705554,,"Infant formula, Gerber Good Start Gentle, Stage 2",,foreign,,67.9,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705554"
FNDDS-2705556,,"Infant formula, premature, powder, made with water",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705556"
FNDDS-2705557,,"Infant formula, premature, ready-to-feed",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705557"
FNDDS-2705565,,"Infant formula, Enfamil ProSobee, ready-to-feed",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705565"
FNDDS-2705566,,"Infant formula, Enfamil ProSobee, powder, made with tap water",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705566"
FNDDS-2705567,,"Infant formula, Enfamil ProSobee, powder, made with bottled water",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705567"
FNDDS-2705568,,"Infant formula, Enfamil ProSobee, powder, made with baby water",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705568"
FNDDS-2705569,,"Infant formula, Similac Isomil Soy, ready-to-feed",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705569"
FNDDS-2705570,,"Infant formula, Similac Isomil Soy, powder, made with tap water",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705570"
FNDDS-2705571,,"Infant formula, Similac Isomil Soy, powder, made with bottled water",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705571"
FNDDS-2705572,,"Infant formula, Similac Isomil Soy, powder, made with baby water",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705572"
FNDDS-2705573,,"Infant formula, Similac for Diarrhea",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705573"
FNDDS-2705574,,"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",,foreign,,67.9,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705574"
FNDDS-2705575,,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water",,foreign,,67.9,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705575"
FNDDS-2705576,,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water",,foreign,,67.9,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705576"
FNDDS-2705577,,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",,foreign,,67.9,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705577"
FNDDS-2705579,,"Infant formula, Enfamil Nutramigen, ready-to-feed",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705579"
FNDDS-2705580,,"Infant formula, Enfamil Nutramigen, powder, made with water",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705580"
FNDDS-2705581,,"Infant formula, Enfamil Pregestimil, ready-to-feed",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705581"
FNDDS-2705582,,"Infant formula, Enfamil Pregestimil, powder, made with water",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705582"
FNDDS-2705583,,"Infant formula, amino acids",,foreign,,68,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705583"
