food_description_en,total_purine_mg_100g,n_samples,country_of_origin,year,source_group,source_code,source_citation
Chocolate,8.1,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Honey,0.8,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Asparagus, raw6",32.85,2,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Balsam pear (goya), raw",9.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Bamboo shoots, raw6",47.15,2,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Bean sprouts, with bean, raw",57.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Bean sprouts, without bean, raw",35.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Brassicaceae (blossom),26.9,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Broccoli sprouts, raw",129.6,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Broccoli, boiled",51.82,1,Japan,2008,nonNAm,d,"Kaneko, K., et al. (2008). Purine contents of soybean-derived foods and selected Japanese vegetables and mushrooms. Nucleosides, Nucleotides, and Nucleic Acids, 27(6-7), 628-30. [Japan, 2008]"
"Broccoli, raw",70.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Burdock,5.1,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Cabbage, chinese (pak-choi), raw",7.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Cabbage, Chinese (qing-geng-cai)",12.4,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Cabbage, raw",3.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Carrots, raw",2.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Cauliflower, raw",57.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Coriander,39.4,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Corn, raw",11.8,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Cucumber, raw",9.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Eggplant, raw",50.8,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Garland chrysanthemum,47.1,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Garlic chives (nira), raw",19.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Garlic, raw",17.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Ginger root, raw",2.3,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Ginger, Japanese (myoga), raw",7.7,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Green beans,7.5,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Honewort,11.5,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Konnyaku,0.4,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Leek, Japanese (negi), raw",41.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Lettuce,4.7,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Lotus root,0.3,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Mizuna (potherb mustard),20.3,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Mushroom, bunapii, raw",30.7,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushroom, hatakeshimeji, raw",16.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushroom, Jew's ear, dried",155.7,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushroom, tsukuritake, raw",49.6,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushroom, usu-hiratake, raw",37.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushroom, white aragekikurage, raw",6.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushroom, white hiratake, raw",66.7,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushroom, yamabushitake, raw",33.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushroom, yanagimatsutake, raw",26.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushrooms, bunashimeji, raw",20.8,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushrooms, enoki, raw",49.3,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushrooms, eringi, raw",13.44,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushrooms, hiratake, raw",142.3,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushrooms, maitake, raw",98.59,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushrooms, nameko, raw",19.1,2,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushrooms, shiitake, dried",311.55,2,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mushrooms, shiitake, raw",23.1,4,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mustard spinach, (komatsuna), mature, raw",10.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mustard spinach, (komatsuna), young, raw",39.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Okra, raw",39.51,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Onions, raw",2.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Paprika, red",1.1,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Parsley, fresh",289.3,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Parsley, Japanese",18.8,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Peas, green, canned",18.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Peas, podded",10.4,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Pepper, green",2.3,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Pepper, green, pickled",3.1,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Pepper, red (capsicum)",5.1,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Pepper, red green",0.9,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Pepper, sweet, green, raw",69.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Perilla leaves, shiso, raw",41.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Potato, raw",6.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Pumpkin, raw",56.7,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Radish leaf, Japanese",33.6,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Radish root, Japanese",1.7,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Radish sprouts, white, raw",73.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Seaweed, hijiki, dried",132.7,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Seaweed, kombu, dried",46.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Seaweed, mozuku, dried",15.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
